eV,Pi_Al_GibbSorb_std.xmu.nor,Pi_Apatite_CaDefHydroxy_std.xmu.nor,Pi_Fe_GoethSorb_std.xmu.nor,Pi_K_Pyro_std.xmu.nor,Pi_Mg_Tri_std.xmu.nor,Pi_Na_Tri_std.xmu.nor,Pi_NH4_Mg_std.xmu.nor,Po_Na_AMP_std.xmu.nor
2143.79,NA,-0.011304137,NA,-0.005701618,-0.003987262,NA,-0.0051543,NA
2143.89,NA,-0.008102969,NA,-0.011505658,-0.003703512,NA,-0.00522899,NA
2143.99,NA,-0.008297373,NA,-0.010430406,-0.00626824,NA,-0.006045838,NA
2144.09,NA,-0.012620817,NA,-0.002437547,-0.006062935,NA,-0.001142625,NA
2144.19,NA,-0.010960612,NA,-0.007570467,-0.003499693,NA,-0.00297194,NA
2144.29,NA,-0.011662502,NA,-0.011157832,-0.00542622,NA,-0.004519371,NA
2144.39,NA,-0.009415913,NA,-0.004125306,-0.002262757,NA,-0.001918208,NA
2144.49,NA,-0.014324766,NA,-0.005563974,-0.001502309,NA,-0.006205494,NA
2144.59,NA,-0.008353372,NA,-0.007155282,-0.000955186,NA,-0.003902557,NA
2144.69,NA,-0.016728905,NA,-0.002757181,-0.001911279,NA,-0.007176696,NA
2144.79,NA,-0.011708194,NA,-0.002072489,0.00103105,NA,-0.003365612,NA
2144.89,NA,-0.006212141,NA,-0.004964633,0.004135236,NA,-0.001540651,NA
2144.99,NA,-0.005345794,NA,-0.001717201,0.000122665,NA,-0.002045657,NA
2145.09,NA,-0.011473197,NA,-0.001018295,0.00244667,NA,-0.003105578,NA
2145.19,NA,-0.013195901,NA,-0.002716513,0.00373067,NA,-0.004831399,NA
2145.29,NA,-0.001950948,NA,0.000432662,0.001992977,NA,-0.004349812,NA
2145.39,NA,-0.001367078,NA,0.002875491,0.005557889,NA,-0.004591998,NA
2145.49,NA,-0.00127998,NA,0.00311586,0.005280462,NA,-0.002052115,NA
2145.59,NA,0.001969891,NA,0.007473793,0.007453968,NA,0.002644792,NA
2145.69,NA,0.006850338,NA,0.009108312,0.008093378,NA,-0.003751175,NA
2145.79,NA,0.007132249,NA,0.007381667,0.005470083,NA,0.003278422,NA
2145.89,NA,0.017070988,NA,0.006187099,0.005768385,NA,0.003883248,NA
2145.99,NA,0.013204378,NA,0.011957721,0.006365556,NA,0.002798815,NA
2146.09,NA,0.022547967,NA,0.010879332,0.009075392,NA,0.003033924,NA
2146.19,NA,0.018583951,NA,0.014108843,0.010198955,NA,0.00106503,NA
2146.29,NA,0.027007054,NA,0.017117738,0.008810178,NA,0.006306639,NA
2146.39,NA,0.030695252,NA,0.020503596,0.010947834,NA,0.005800272,NA
2146.49,NA,0.032591179,NA,0.014291075,0.010096807,NA,0.006234198,NA
2146.59,NA,0.032341253,NA,0.020069113,0.013302154,NA,0.010607007,NA
2146.69,NA,0.042870273,NA,0.020866895,0.014339463,NA,0.013569716,NA
2146.79,NA,0.036990282,NA,0.019090194,0.017102897,NA,0.00897263,NA
2146.89,NA,0.035861754,NA,0.020717916,0.017695808,NA,0.014991803,NA
2146.99,NA,0.053066979,NA,0.023118105,0.015991835,NA,0.016414364,NA
2147.09,NA,0.039754912,NA,0.025640036,0.02010621,NA,0.017082513,NA
2147.19,NA,0.051327149,NA,0.027130566,0.024547495,NA,0.019932877,NA
2147.29,NA,0.063275374,NA,0.033129839,0.023747581,NA,0.010327929,NA
2147.39,NA,0.076484032,NA,0.033849138,0.025687884,NA,0.021066271,NA
2147.49,NA,0.067741279,NA,0.039561671,0.027043584,NA,0.020190187,NA
2147.59,NA,0.084841306,NA,0.042167646,0.030641152,NA,0.026820789,NA
2147.69,NA,0.08585571,NA,0.045928615,0.033344244,NA,0.029473698,NA
2147.79,NA,0.098080567,NA,0.043922028,0.036944651,NA,0.027055424,NA
2147.89,NA,0.091271323,NA,0.050235232,0.037510941,NA,0.034878244,NA
2147.99,NA,0.091466542,NA,0.05016476,0.038868061,NA,0.03470006,NA
2148.09,NA,0.096104448,NA,0.059808228,0.047016093,NA,0.037470081,NA
2148.19,NA,0.1021226,NA,0.059272421,0.046958025,NA,0.03761191,NA
2148.29,NA,0.095611415,NA,0.070192625,0.048894779,NA,0.044763384,NA
2148.39,NA,0.10300201,NA,0.072750397,0.051796999,NA,0.050189512,NA
2148.49,NA,0.10022343,NA,0.076564512,0.056953154,NA,0.053005832,NA
2148.59,NA,0.1001878,NA,0.084095744,0.062904397,NA,0.059523408,NA
2148.69,NA,0.099932026,NA,0.082920333,0.066764983,NA,0.066214609,NA
2148.79,NA,0.11556901,NA,0.096831534,0.073209608,NA,0.07684333,NA
2148.89,NA,0.11736656,NA,0.10668573,0.080445773,NA,0.077943155,NA
