Chemical_Shift_parts_per_million,BSLE_0004-solid,BSLE_0003-solid,BSLE_0008-solid,BSLE_0010-solid,BSLE_0001-solid,BSLE_0013-solid,BSLE_0017-solid,BSLE_0057-solid,BSLE_0066-solid,BSLE_0070-solid,BSLE_0014-solid,BSLE_0024-solid,BSLE_0028-solid,BSLE_0034-solid,BSLE_0018-solid,BSLE_0044-solid,BSLE_0042-solid,BSLE_0030-solid,BSLE_0063-solid,BSLE_0019-solid,BSLE_0046-solid
8.3398,0.8251,1.2781,0,0.0937,0.5867,0.3141,1.6927,0.3298,0.3788,0,1.3298,0.5412,0.3495,0.6409,1.208,0.3906,2.0809,0.4536,0.0147,0.5291,0.7371
8.4005,0.8114,1.2401,0,0.0845,0.5838,0.3213,1.734,0.3438,0.3523,0,1.3433,0.5691,0.3693,0.6492,1.204,0.4117,2.0969,0.419,0.0225,0.5609,0.7686
8.4612,0.8519,1.2107,0,0.0926,0.5647,0.3281,1.7868,0.3427,0.3469,0,1.3715,0.6113,0.3972,0.6398,1.2043,0.4329,2.1045,0.3727,0.0581,0.5944,0.788
8.5218,0.938,1.2025,0,0.1281,0.5233,0.339,1.8631,0.3253,0.3587,0,1.4071,0.6572,0.4346,0.6166,1.2,0.4501,2.1051,0.3255,0.1021,0.6252,0.7811
8.5825,1.0312,1.2172,0,0.1818,0.4597,0.3595,1.957,0.2923,0.3783,0,1.4389,0.6964,0.4796,0.5887,1.1872,0.4537,2.1044,0.2879,0.1341,0.6566,0.7426
8.6432,1.0811,1.2466,0,0.2297,0.3831,0.3915,2.0469,0.2481,0.3942,0,1.4572,0.7253,0.5263,0.5684,1.1677,0.4344,2.1084,0.2667,0.142,0.6945,0.6789
8.7038,1.0524,1.2787,0,0.2462,0.3103,0.4316,2.1068,0.2013,0.3964,0,1.4596,0.748,0.5672,0.5665,1.1445,0.391,2.1206,0.2626,0.126,0.739,0.6045
8.7645,0.9446,1.3043,0,0.2181,0.2574,0.4735,2.1216,0.1625,0.3785,0,1.4525,0.7707,0.5969,0.5894,1.1197,0.3361,2.1396,0.27,0.0972,0.7808,0.5361
8.8251,0.7925,1.3178,0.007,0.1513,0.2321,0.5133,2.095,0.1412,0.3393,0,1.447,0.7957,0.6154,0.6363,1.0948,0.2935,2.1596,0.2792,0.0694,0.8076,0.4863
8.8858,0.6483,1.3151,0.0944,0.0672,0.2314,0.5529,2.0466,0.1426,0.2832,0,1.4527,0.8181,0.6265,0.699,1.0694,0.2875,2.1738,0.2801,0.0514,0.8154,0.4614
8.9465,0.5548,1.2936,0.1597,0,0.2472,0.5985,2.0016,0.1654,0.2203,0,1.4711,0.8293,0.6342,0.7634,1.0388,0.3293,2.177,0.2672,0.0435,0.8134,0.4625
9.0071,0.5266,1.2558,0.2068,0,0.2751,0.6554,1.978,0.2027,0.1641,0,1.4954,0.8245,0.6391,0.8149,0.9933,0.4098,2.1692,0.2423,0.039,0.8172,0.4868
9.0678,0.5492,1.2128,0.2452,0,0.3186,0.7207,1.9807,0.2441,0.1286,0,1.5154,0.8084,0.638,0.8447,0.9271,0.5027,2.1558,0.2146,0.031,0.8375,0.5285
9.1285,0.5941,1.1819,0.285,0,0.3848,0.7814,2.0036,0.2795,0.1243,0,1.5242,0.7955,0.6278,0.855,0.8497,0.5788,2.1468,0.1971,0.0182,0.8719,0.5789
9.1891,0.64,1.1773,0.3323,0,0.475,0.8179,2.0371,0.3036,0.1551,0,1.5228,0.8021,0.6108,0.856,0.7887,0.6208,2.1532,0.2008,0.0071,0.9084,0.6279
